Service_Category,Material_Shape,Is_Fragile,Length_cm,Width_cm,Height_cm,Volume_cm3,Actual_Weight_kg,Density,Target_Divisor
Construction,Irregular,0,33.4,96.6,27.1,87436.52,77.1,0.000882,4500
Solar Services,Box,1,219.4,98.4,9.0,194300.64,20.5,0.000106,3500
Painting,Cylindrical,0,33.6,33.4,33.8,37931.71,10.4,0.000274,4500
Solar Services,Box,1,187.9,98.2,6.9,127317.28,26.5,0.000208,3500
Interiors,Wrapped,1,51.9,104.0,7.1,38322.96,19.1,0.000498,3500
Painting,Cylindrical,0,31.2,23.3,38.6,28060.66,15.0,0.000535,4500
Interiors,Wrapped,1,130.9,72.0,11.8,111212.64,38.0,0.000342,3500
Interiors,Box,0,156.2,53.4,77.7,648101.92,41.5,6.4e-05,5000
Interiors,Wrapped,1,72.4,119.9,7.7,66841.85,11.6,0.000174,3500
Interiors,Box,0,71.2,82.0,91.6,534797.44,30.2,5.6e-05,5000
Interiors,Box,0,55.1,67.6,85.2,317349.55,19.0,6e-05,5000
Interiors,Wrapped,1,61.8,56.0,12.8,44298.24,32.4,0.000731,3500
Construction,Irregular,0,36.9,76.3,46.2,130074.71,42.8,0.000329,4500
Interiors,Wrapped,1,136.6,117.5,17.5,280883.75,22.0,7.8e-05,3500
Painting,Cylindrical,0,35.0,21.4,42.7,31982.3,16.2,0.000507,4500
Solar Services,Box,1,182.1,89.0,5.7,92379.33,28.2,0.000305,3500
Painting,Cylindrical,0,22.6,31.5,31.6,22496.04,24.3,0.00108,4500
Painting,Cylindrical,0,30.5,35.9,48.2,52776.59,14.2,0.000269,4500
Painting,Cylindrical,0,24.2,36.8,46.0,40965.76,29.5,0.00072,4500
Painting,Cylindrical,0,37.9,25.4,32.5,31286.45,25.7,0.000821,4500
Interiors,Box,0,195.1,57.3,91.2,1019545.78,21.6,2.1e-05,5000
Interiors,Box,0,124.5,74.9,89.9,838322.0,23.4,2.8e-05,5000
Construction,Irregular,0,73.4,98.4,32.4,234010.94,74.8,0.00032,4500
Solar Services,Box,1,184.2,100.1,5.6,103255.15,18.2,0.000176,3500
Painting,Cylindrical,0,22.0,23.1,47.3,24037.86,11.0,0.000458,4500
Painting,Cylindrical,0,25.2,24.0,46.6,28183.68,15.7,0.000557,4500
Construction,Irregular,0,76.6,54.3,28.0,116462.64,97.2,0.000835,4500
Interiors,Box,0,104.6,95.8,66.5,666375.22,45.5,6.8e-05,5000
Interiors,Box,0,137.8,96.7,55.9,744882.03,34.3,4.6e-05,5000
Painting,Cylindrical,0,21.8,30.3,32.7,21599.66,13.3,0.000616,4500
Painting,Cylindrical,0,29.2,23.0,38.4,25789.44,29.5,0.001144,4500
Painting,Cylindrical,0,37.1,35.4,50.0,65667.0,22.7,0.000346,4500
Construction,Irregular,0,95.8,62.5,40.1,240098.75,97.0,0.000404,4500
Interiors,Wrapped,1,87.2,55.7,13.6,66055.74,19.8,0.0003,3500
Interiors,Wrapped,1,52.2,65.1,8.7,29564.51,22.8,0.000771,3500
Interiors,Wrapped,1,105.0,145.9,16.3,249707.85,13.9,5.6e-05,3500
Construction,Irregular,0,97.3,73.7,38.8,278235.19,45.6,0.000164,4500
Interiors,Box,0,168.1,53.4,96.3,864440.8,53.2,6.2e-05,5000
Interiors,Box,0,169.3,58.6,62.5,620061.25,37.7,6.1e-05,5000
Solar Services,Box,1,158.4,96.9,5.9,90558.86,24.9,0.000275,3500
Construction,Irregular,0,34.3,92.4,30.7,97298.12,79.4,0.000816,4500
Interiors,Box,0,65.7,98.4,56.3,363972.74,40.1,0.00011,5000
Interiors,Wrapped,1,52.3,100.4,5.6,29405.15,22.5,0.000765,3500
Painting,Cylindrical,0,28.2,37.9,40.5,43285.59,18.4,0.000425,4500
Painting,Cylindrical,0,22.0,27.4,32.6,19651.28,16.5,0.00084,4500
Interiors,Box,0,109.3,78.2,71.1,607710.19,35.8,5.9e-05,5000
Painting,Cylindrical,0,21.7,36.2,44.4,34877.98,13.8,0.000396,4500
Construction,Irregular,0,39.4,52.5,28.8,59572.8,88.3,0.001482,4500
Interiors,Wrapped,1,116.2,67.8,8.3,65390.39,16.3,0.000249,3500
Painting,Cylindrical,0,29.9,29.3,45.5,39861.18,24.1,0.000605,4500
Interiors,Box,0,184.7,59.8,72.7,802975.86,50.5,6.3e-05,5000
Construction,Irregular,0,98.1,61.9,42.7,259291.05,51.3,0.000198,4500
Construction,Irregular,0,75.2,67.9,31.9,162883.95,77.4,0.000475,4500
Interiors,Wrapped,1,112.9,45.5,19.3,99143.13,32.3,0.000326,3500
Construction,Irregular,0,62.5,49.4,29.6,91390.0,78.1,0.000855,4500
Solar Services,Box,1,217.9,92.0,4.0,80187.2,27.5,0.000343,3500
Interiors,Box,0,168.0,58.9,68.3,675842.16,26.0,3.8e-05,5000
Interiors,Box,0,124.4,85.7,94.5,1007472.06,28.3,2.8e-05,5000
Painting,Cylindrical,0,33.5,38.8,47.8,62130.44,20.4,0.000328,4500
Interiors,Wrapped,1,98.5,82.7,15.2,123818.44,12.3,9.9e-05,3500
Painting,Cylindrical,0,35.4,30.8,31.9,34781.21,18.6,0.000535,4500
Interiors,Wrapped,1,78.2,114.6,18.5,165791.82,10.7,6.5e-05,3500
Solar Services,Box,1,184.2,82.3,4.0,60638.64,25.2,0.000416,3500
Interiors,Box,0,120.0,58.8,59.1,417009.6,58.5,0.00014,5000
Solar Services,Box,1,198.0,90.2,4.2,75010.32,23.5,0.000313,3500
Interiors,Box,0,182.8,93.5,62.5,1068237.5,43.2,4e-05,5000
Interiors,Box,0,70.3,61.4,63.5,274092.67,34.6,0.000126,5000
Solar Services,Box,1,219.7,105.0,5.3,122263.05,19.3,0.000158,3500
Interiors,Wrapped,1,97.1,102.9,8.5,84928.51,19.4,0.000228,3500
Solar Services,Box,1,176.3,96.7,4.4,75012.12,20.9,0.000279,3500
